pay_amount,user_id,start,first
29.0,310008771,2016-03-11 17:05:42,0
15.0,310017039,2016-05-16 06:30:20,0
15.0,310023401,2016-05-21 09:11:47,0
29.0,310036075,2016-03-01 17:42:43,0
15.0,310079658,2016-05-20 20:40:09,0
10.0,310079690,2016-05-04 21:00:06,0
10.0,310093058,2016-04-22 21:28:51,0
29.0,310098945,2016-05-28 20:28:07,0
29.0,310099503,2016-05-18 18:00:48,0
15.0,310133969,2016-05-30 18:20:03,0
10.0,310136565,2016-04-09 12:01:09,0
29.0,310147766,2016-05-27 20:43:36,0
15.0,310150196,2016-05-16 21:09:13,0
15.0,310150222,2016-05-13 13:45:57,0
10.0,310185406,2016-04-28 14:58:46,0
10.0,310487543617,2016-03-23 15:06:38,0
29.0,3119091,2016-05-15 13:35:00,0
10.0,3119493,2016-05-07 20:24:13,0
15.0,3119813,2016-05-22 09:31:59,0
10.0,3120905,2016-05-07 10:51:51,0
29.0,3138311,2016-05-14 08:16:30,0
10.0,3152311,2016-04-23 13:01:08,0
29.0,3153339,2016-03-12 19:32:53,0
10.0,3170305,2016-05-08 13:52:04,0
10.0,317878,2016-05-08 08:58:39,0
29.0,318062,2016-04-12 20:30:45,0
29.0,32525,2016-03-26 21:11:16,0
29.0,3301781,2016-03-26 16:34:18,0
15.0,3327112,2016-05-25 19:14:46,0
15.0,333326216,2016-05-20 22:35:59,0
29.0,333350783,2016-03-18 16:58:27,0
80.0,333400732,2016-05-29 17:36:06,0
10.0,333427369,2016-05-09 21:26:41,0
10.0,333427624,2016-03-01 16:33:10,0
10.0,333428368,2016-03-22 16:22:00,0
10.0,333428720,2016-04-10 00:22:29,0
15.0,333428757,2016-06-04 22:06:52,0
10.0,333428774,2016-05-08 20:38:01,0
0.0,333429040,2016-06-20 20:34:12,0
29.0,333429145,2016-03-24 21:04:17,0
29.0,333429328,2016-03-31 23:59:59,0
29.0,333429355,2016-05-24 20:45:53,0
10.0,333429364,2016-05-06 18:33:03,0
10.0,333429375,2016-03-04 19:57:03,0
80.0,333429377,2016-03-10 19:41:49,0
10.0,333432211,2016-03-16 12:24:12,0
10.0,333445575,2016-03-13 12:37:56,0
29.0,333451800,2016-05-18 18:55:08,0
10.0,333460071,2016-05-11 21:01:47,0
10.0,333469893,2016-05-11 18:18:19,0
15.0,333475579,2016-05-14 11:12:51,0
10.0,333477309,2016-04-08 18:09:59,0
10.0,333478002,2016-04-05 21:42:45,0
10.0,333481911,2016-03-12 21:26:19,0
10.0,333517524,2016-04-19 13:03:53,0
10.0,333532917,2016-05-07 08:07:39,0
29.0,333538899,2016-03-07 17:13:39,0
10.0,333571172,2016-05-09 11:37:28,0
29.0,333575899,2016-05-22 16:47:18,0
80.0,333579146,2016-03-13 23:59:59,0
15.0,333587263,2016-05-13 18:01:09,0
15.0,333636836,2016-06-02 13:11:06,0
15.0,333636853,2016-06-10 15:23:16,0
15.0,333636996,2016-05-31 20:35:27,0
15.0,333637004,2016-05-25 20:25:48,0
29.0,333647678,2016-05-24 19:16:27,0
29.0,333655050,2016-03-11 20:02:36,0
15.0,333656946,2016-05-14 18:50:40,0
29.0,333656983,2016-05-31 22:49:24,0
10.0,333660004,2016-03-08 20:52:35,0
29.0,333708837,2016-04-07 18:12:37,0
29.0,333738221,2016-05-17 20:36:42,0
29.0,333738690,2016-06-05 12:08:12,0
29.0,333740887,2016-04-06 18:44:38,0
10.0,333744914,2016-04-05 18:44:04,0
15.0,333756585,2016-05-22 09:12:59,0
10.0,333756993,2016-03-15 21:10:28,0
15.0,333761944,2016-05-26 21:25:13,0
29.0,333761948,2016-05-09 12:10:12,0
15.0,333762058,2016-05-17 21:10:21,0
27.0,333762065,2016-06-12 21:59:58,0
29.0,333762086,2016-05-19 20:44:23,0
10.0,333762166,2016-04-02 07:15:22,0
10.0,333803558,2016-05-09 21:38:31,0
29.0,333820917,2016-05-28 11:06:05,0
29.0,333828940,2016-04-14 18:35:35,0
10.0,333834720,2016-05-10 19:06:07,0
15.0,333838122,2016-05-13 17:56:25,0
29.0,333842245,2016-04-27 17:40:48,0
29.0,333872658,2016-03-03 16:35:12,0
29.0,333890052,2016-03-28 22:14:04,0
29.0,333893844,2016-04-19 20:48:36,0
29.0,333893885,2016-05-15 20:16:56,0
10.0,333895352,2016-05-07 16:38:50,0
29.0,333895982,2016-05-08 19:42:42,0
10.0,333902508,2016-03-17 16:18:37,0
10.0,333921310,2016-03-22 20:06:00,0
29.0,334031349,2016-05-16 20:44:38,0
15.0,334050511,2016-05-27 20:46:57,0
29.0,334050572,2016-06-27 23:00:42,0
29.0,334051309,2016-04-10 12:53:05,0
15.0,334069682,2016-05-14 10:49:25,0
10.0,334069717,2016-04-12 20:48:50,0
15.0,334097805,2016-05-13 19:59:55,0
15.0,334113510,2016-05-13 20:38:07,0
10.0,334119848,2016-05-09 18:25:51,0
29.0,334119863,2016-05-12 18:35:07,0
29.0,334121579,2016-05-10 19:47:32,0
15.0,334123658,2016-05-15 10:29:32,0
29.0,334123916,2016-03-16 21:19:19,0
10.0,334126976,2016-04-11 13:04:44,0
10.0,334135180,2016-04-15 20:54:16,0
29.0,334170228,2016-06-01 21:37:42,0
10.0,334178336,2016-03-21 19:07:48,0
15.0,334197068,2016-05-13 16:10:48,0
10.0,334214773,2016-03-28 14:49:08,0
29.0,334223438,2016-05-12 21:08:47,0
29.0,334228373,2016-03-01 19:23:26,0
29.0,334231708,2016-03-04 19:18:09,0
29.0,334232356,2016-04-08 20:40:58,0
10.0,334280181,2016-03-18 23:03:51,0
10.0,334286090,2016-03-14 12:47:13,0
80.0,334287922,2016-03-27 23:59:59,0
10.0,334299482,2016-05-12 07:28:36,0
10.0,334305871,2016-03-05 11:23:38,0
10.0,334305925,2016-05-08 22:13:32,0
29.0,334313094,2016-05-15 21:02:31,0
10.0,334313118,2016-05-08 20:52:45,0
80.0,334333942,2016-03-17 19:52:43,0
15.0,334371056,2016-05-16 17:53:18,0
10.0,334389704,2016-04-18 13:01:57,0
29.0,334397191,2016-03-08 18:22:41,0
29.0,334407571,2016-03-24 20:46:00,0
29.0,334433531,2016-05-03 19:47:13,0
10.0,3345489,2016-03-18 16:58:47,0
29.0,334623249,2016-04-13 22:06:49,0
10.0,334624066,2016-03-12 12:06:58,0
15.0,334652501,2016-05-19 12:19:01,0
10.0,334655498,2016-05-05 18:44:49,0
15.0,334657818,2016-05-20 20:44:00,0
10.0,334657832,2016-05-09 20:00:14,0
10.0,334658185,2016-05-08 11:18:15,0
158.0,334702820,2016-04-13 18:19:51,0
15.0,334710973,2016-05-29 07:01:53,0
10.0,334710991,2016-05-11 19:48:04,0
10.0,334791766,2016-05-08 00:33:03,0
