user_id,repay,usage
32525,33,30
317878,5,10
318062,34,30
360664,42,30
516143,4,15
516158,12,10
516159,8,10
540718,17,15
3119091,31,30
3119493,10,10
3119813,33,15
3120905,15,10
3138311,35,30
3152311,45,10
3153339,37,30
3170305,15,10
3301781,88,30
3327112,17,15
3345489,13,10
3385274,8,10
3386552,27,10
3390886,31,30
3392011,32,30
3397618,35,30
3403503,95,90
3407862,20,15
3422286,54,30
3433746,11,10
3454979,60,10
3457038,9,10
3457231,91,90
3457239,17,10
3472079,17,10
3484586,34,30
3486877,9,15
3490552,2,10
3497224,31,30
3500402,25,10
3505578,10,10
3514271,21,10
3528806,13,10
3528817,95,30
3741650,29,15
3741657,20,15
3752814,26,30
3754212,6,30
3755896,32,30
3759417,26,15
3760551,64,30
3767797,32,30
3791362,16,15
3847524,74,30
3859948,31,30
3859953,0,10
3876030,11,10
3882554,12,10
3883763,58,10
3887046,105,90
3921031,13,30
3938348,11,10
3948312,7,10
3950421,30,30
3962525,12,30
3983740,34,30
3988174,93,90
3988909,14,15
3992888,10,10
3995630,16,15
33954795,40,30
33971438,16,10
34018936,0,30
34021051,90,10
34022922,12,30
34023483,33,30
34023520,57,10
34023556,102,30
34023582,6,10
34023979,88,90
34046534,91,90
34051393,16,15
34099302,16,15
34143007,30,30
34157236,0,10
34159424,30,30
34161091,92,90
34167857,0,15
34177975,10,10
34271962,51,10
34290991,70,10
34291026,15,15
34291031,69,10
34291106,16,15
34291120,10,10
34291122,24,10
34291125,14,10
34291131,13,10
34291144,61,10
34291158,14,10
34291250,40,30
34298875,89,10
34299233,17,10
34354575,11,10
34354835,20,10
34678539,13,10
34905704,25,30
34988595,16,15
34988606,13,10
34988971,38,90
34995728,2,15
34995752,0,15
34995755,42,30
34995786,28,30
35018115,11,10
35026143,32,30
35037647,0,30
36098206,17,10
36098213,94,90
36103837,32,30
36117112,33,30
36118794,13,10
36136103,0,15
36183382,46,30
36191820,47,30
36197258,32,30
36215950,53,30
