,usage,pay
0,10,29
1,10,7
2,10,70
3,30,31
4,10,68
5,30,31
6,10,0
7,30,104
8,10,19
9,10,74
10,10,22
11,10,64
12,10,0
13,10,30
14,10,12
15,10,27
16,10,31
17,90,93
18,90,92
19,90,97
20,30,33
21,90,93
22,10,10
23,10,29
24,10,12
25,30,1
26,10,26
27,10,11
28,30,5
29,10,15
30,10,84
31,10,31
32,30,30
33,10,15
34,30,79
35,10,65
36,30,66
37,30,99
38,10,91
39,30,35
40,90,97
41,10,10
42,10,30
43,10,10
44,10,79
45,10,71
46,10,28
47,10,0
48,10,76
49,10,13
50,10,83
51,10,14
52,30,89
53,10,10
54,10,9
55,10,11
56,10,9
57,10,7
58,30,28
59,30,35
60,30,29
61,90,90
62,10,19
63,10,72
64,10,71
65,30,52
66,10,13
67,30,31
68,10,17
69,10,94
70,10,66
71,10,15
72,10,68
73,10,8
74,10,0
75,10,7
76,10,102
77,30,27
78,10,6
79,10,17
80,30,122
81,10,11
82,10,15
83,10,12
84,10,10
85,10,13
86,10,78
87,10,14
88,10,7
89,10,72
90,30,30
91,30,36
92,10,0
93,30,30
94,10,9
95,10,8
96,10,54
97,10,11
98,30,38
99,10,0
100,30,28
101,30,71
102,90,88
103,10,14
104,10,52
105,90,90
106,30,31
107,90,86
108,30,46
109,10,81
110,10,69
111,10,12
112,10,12
113,10,0
114,30,29
115,90,102
116,10,15
117,30,30
118,10,100
119,30,37
120,30,41
121,90,88
122,10,11
123,90,97
124,10,0
125,30,40
126,10,67
127,30,39
128,10,83
129,30,30
130,30,31
131,10,0
132,10,13
133,30,29
134,10,23
135,30,50
136,10,24
137,10,54
138,10,63
139,30,55
140,30,70
141,10,11
142,10,37
143,10,30
144,10,23
145,10,77
146,10,69
147,30,32
148,30,39
149,30,36
150,90,120
151,10,10
152,90,120
153,10,19
154,30,28
155,30,28
156,30,44
157,10,114
158,30,28
159,10,66
160,10,112
161,10,16
162,10,3
163,10,12
164,30,35
165,10,13
166,10,75
167,10,39
168,10,46
169,10,120
170,90,104
171,10,74
172,10,31
173,10,9
174,30,35
175,10,34
176,10,46
177,10,32
178,10,11
179,10,86
180,30,51
181,10,70
182,10,11
183,30,37
184,10,12
185,10,11
186,10,12
187,10,15
188,90,95
189,10,12
190,10,83
191,30,29
192,90,93
193,30,89
194,10,14
195,10,17
196,10,11
197,30,120
198,30,28
199,10,92
200,10,86
201,10,77
202,10,9
203,10,10
204,30,27
205,30,28
206,90,98
207,30,28
208,10,8
209,30,25
210,10,82
211,10,103
212,10,14
213,10,90
214,30,63
215,10,66
216,30,72
217,10,1
218,30,19
219,10,34
220,30,70
221,10,94
222,30,30
223,10,19
224,10,10
225,10,14
226,10,78
227,30,30
228,30,43
229,90,90
230,10,23
231,10,10
232,10,59
233,10,69
234,10,10
235,10,58
236,10,74
237,30,82
238,10,8
239,10,12
240,10,5
241,30,29
242,30,37
243,10,11
244,10,11
245,90,93
246,30,30
247,10,9
248,10,108
249,10,10
250,10,18
251,10,91
252,10,83
253,10,85
254,30,42
255,10,12
256,10,16
257,90,108
258,30,59
259,10,11
260,10,92
261,10,25
262,10,21
263,30,79
264,90,92
265,30,33
266,10,59
267,30,31
268,30,35
269,10,41
270,10,14
271,10,88
272,30,85
273,10,11
274,10,72
275,30,102
276,10,11
277,10,28
278,10,16
279,10,41
280,30,62
281,10,84
282,10,105
283,10,10
284,10,65
285,30,29
286,10,9
287,10,16
288,10,72
289,10,10
290,10,26
291,10,18
292,10,69
293,10,75
294,10,0
295,30,65
296,10,17
297,10,36
298,10,5
299,10,75
300,10,12
301,30,68
302,10,8
303,10,11
304,10,23
305,10,108
306,30,31
307,10,10
308,10,11
309,10,67
310,10,14
311,10,9
312,10,10
313,10,17
314,10,5
315,30,91
316,10,69
317,30,70
318,30,74
319,10,28
320,10,0
321,10,62
322,10,10
323,30,50
324,10,11
325,10,10
326,30,91
327,30,23
328,10,10
329,10,12
330,10,10
331,90,3
332,10,34
333,30,31
334,30,32
335,10,69
336,30,37
337,10,22
338,30,52
339,10,70
340,10,19
341,90,90
342,30,40
343,90,104
344,10,15
345,30,28
346,10,21
347,10,11
348,10,9
349,30,30
350,10,109
351,10,14
352,10,10
353,10,60
354,90,93
355,10,70
356,10,80
357,10,15
358,10,65
359,10,35
360,30,31
361,10,1
362,10,15
363,10,11
364,10,18
365,10,70
366,10,7
367,30,45
368,10,99
369,10,10
370,10,10
371,10,14
